Frame,TopLeftCornerX,TopLeftCornerY,Length,Height
2,435.5,425.5,112,55
2,56.5,341.5,63,45
2,42.5,220.5,54,39
2,114.5,175.5,42,31
2,20.5,162.5,25,16
2,478.5,149.5,47,42
2,27.5,130.5,21,23
2,348.5,129.5,33,20
2,158.5,106.5,29,18
2,73.5,104.5,48,25
2,313.5,57.5,32,15
2,342.5,46.5,52,16
3,478.5,442.5,90,38
3,32.5,424.5,32,56
3,79.5,394.5,59,86
3,24.5,350.5,48,62
3,22.5,336.5,20,22
3,42.5,311.5,25,17
3,21.5,310.5,26,31
3,618.5,303.5,102,139
3,1.5,294.5,33,40
3,250.5,292.5,84,100
3,146.5,252.5,46,51
3,0.5,231.5,24,34
3,62.5,217.5,33,35
3,105.5,213.5,31,20
3,190.5,199.5,42,29
3,57.5,195.5,21,17
3,319.5,191.5,88,99
3,28.5,189.5,35,29
3,109.5,165.5,20,17
3,204.5,143.5,25,18
3,260.5,129.5,52,36
3,180.5,129.5,38,21
3,204.5,107.5,38,20
3,548.5,103.5,75,39
3,72.5,103.5,25,39
3,260.5,86.5,59,43
3,631.5,83.5,73,51
3,126.5,76.5,31,31
3,311.5,70.5,56,27
3,379.5,59.5,194,100
3,275.5,55.5,47,36
3,377.5,51.5,106,54
3,213.5,40.5,23,20
3,312.5,35.5,22,16
3,534.5,28.5,88,30
3,403.5,26.5,29,18
3,336.5,24.5,27,20
3,666.5,0.5,28,24
3,485.5,0.5,70,30
5,358.5,450.5,30,30
5,487.5,434.5,106,46
5,655.5,366.5,57,57
5,310.5,317.5,45,43
5,698.5,283.5,22,28
5,65.5,277.5,77,37
5,659.5,255.5,41,24
5,355.5,237.5,54,28
5,611.5,222.5,33,24
5,440.5,222.5,42,26
5,354.5,209.5,33,24
5,241.5,180.5,30,18
5,645.5,176.5,57,15
5,521.5,176.5,33,17
5,62.5,165.5,59,19
5,310.5,158.5,35,17
5,254.5,137.5,35,20
5,333.5,134.5,30,16
5,557.5,132.5,52,17
5,8.5,91.5,37,18
6,284.5,464.5,29,16
6,458.5,452.5,53,28
6,506.5,366.5,61,71
6,677.5,273.5,26,29
6,403.5,269.5,52,31
6,685.5,237.5,27,17
6,414.5,228.5,42,34
6,0.5,206.5,31,17
6,191.5,192.5,35,23
6,68.5,178.5,61,26
6,375.5,164.5,39,24
6,341.5,114.5,46,26
6,1.5,91.5,37,22
7,620.5,420.5,45,23
7,275.5,418.5,89,58
7,552.5,412.5,25,22
7,572.5,401.5,29,20
7,349.5,398.5,46,30
7,655.5,397.5,48,43
7,545.5,394.5,21,18
7,488.5,385.5,48,23
7,448.5,384.5,28,23
7,25.5,381.5,76,55
7,614.5,372.5,20,15
7,364.5,370.5,28,15
7,442.5,346.5,32,18
7,407.5,344.5,34,18
7,336.5,339.5,40,21
7,558.5,337.5,43,19
7,465.5,329.5,49,28
7,138.5,311.5,35,15
7,447.5,306.5,53,26
7,337.5,304.5,39,18
7,403.5,301.5,31,16
7,198.5,297.5,33,19
7,440.5,288.5,27,21
7,351.5,275.5,32,25
7,145.5,273.5,38,21
7,205.5,260.5,57,36
7,323.5,252.5,35,22
7,101.5,249.5,40,24
7,311.5,237.5,31,16
7,96.5,226.5,68,15
7,56.5,192.5,31,17
7,90.5,177.5,38,21
8,41.5,415.5,32,36
8,602.5,390.5,64,80
8,10.5,373.5,26,29
8,275.5,343.5,28,40
8,85.5,322.5,41,52
8,0.5,304.5,69,74
8,53.5,266.5,34,33
8,257.5,261.5,30,30
8,656.5,254.5,49,33
8,584.5,248.5,56,79
8,83.5,225.5,27,25
8,424.5,201.5,66,46
8,699.5,172.5,21,20
8,168.5,153.5,53,27
8,554.5,150.5,48,28
8,418.5,148.5,86,39
8,166.5,143.5,22,15
8,221.5,131.5,25,19
8,642.5,130.5,51,46
8,318.5,120.5,37,25
8,292.5,104.5,33,20
8,357.5,103.5,28,18
8,489.5,100.5,34,16
8,465.5,80.5,42,34
8,666.5,55.5,54,18
8,418.5,44.5,84,48
8,634.5,39.5,23,16
9,262.5,307.5,34,16
9,324.5,302.5,31,19
10,131.5,410.5,30,25
10,394.5,359.5,63,39
10,84.5,343.5,20,15
10,559.5,226.5,25,16
11,31.5,429.5,93,51
11,24.5,389.5,33,41
11,568.5,371.5,79,60
11,56.5,331.5,71,52
11,263.5,312.5,77,60
11,0.5,307.5,21,30
11,364.5,303.5,41,20
11,558.5,299.5,46,34
11,60.5,278.5,72,48
11,575.5,272.5,58,35
